city,zone_id,zone_name,hour,demand
moscow,1,Tverskoy,2026-04-10 18:00:00,64
moscow,1,Tverskoy,2026-04-10 19:00:00,62
moscow,1,Tverskoy,2026-04-10 20:00:00,63
moscow,1,Tverskoy,2026-04-10 21:00:00,62
moscow,1,Tverskoy,2026-04-10 22:00:00,71
moscow,1,Tverskoy,2026-04-10 23:00:00,72
moscow,1,Tverskoy,2026-04-11 00:00:00,34
moscow,1,Tverskoy,2026-04-11 01:00:00,38
moscow,1,Tverskoy,2026-04-11 02:00:00,36
moscow,1,Tverskoy,2026-04-11 03:00:00,31
moscow,1,Tverskoy,2026-04-11 04:00:00,35
moscow,1,Tverskoy,2026-04-11 05:00:00,31
moscow,1,Tverskoy,2026-04-11 06:00:00,37
moscow,1,Tverskoy,2026-04-11 07:00:00,34
moscow,1,Tverskoy,2026-04-11 08:00:00,33
moscow,1,Tverskoy,2026-04-11 09:00:00,32
moscow,1,Tverskoy,2026-04-11 10:00:00,38
moscow,1,Tverskoy,2026-04-11 11:00:00,34
moscow,1,Tverskoy,2026-04-11 12:00:00,33
moscow,1,Tverskoy,2026-04-11 13:00:00,34
moscow,1,Tverskoy,2026-04-11 14:00:00,39
moscow,1,Tverskoy,2026-04-11 15:00:00,42
moscow,1,Tverskoy,2026-04-11 16:00:00,47
moscow,1,Tverskoy,2026-04-11 17:00:00,51
moscow,1,Tverskoy,2026-04-11 18:00:00,59
moscow,1,Tverskoy,2026-04-11 19:00:00,51
moscow,1,Tverskoy,2026-04-11 20:00:00,68
moscow,1,Tverskoy,2026-04-11 21:00:00,69
moscow,1,Tverskoy,2026-04-11 22:00:00,77
moscow,1,Tverskoy,2026-04-11 23:00:00,80
moscow,1,Tverskoy,2026-04-12 00:00:00,35
moscow,1,Tverskoy,2026-04-12 01:00:00,33
moscow,1,Tverskoy,2026-04-12 02:00:00,33
moscow,1,Tverskoy,2026-04-12 03:00:00,38
moscow,1,Tverskoy,2026-04-12 04:00:00,38
moscow,1,Tverskoy,2026-04-12 05:00:00,37
moscow,1,Tverskoy,2026-04-12 06:00:00,33
moscow,1,Tverskoy,2026-04-12 07:00:00,36
moscow,1,Tverskoy,2026-04-12 08:00:00,36
moscow,1,Tverskoy,2026-04-12 09:00:00,36
moscow,1,Tverskoy,2026-04-12 10:00:00,38
moscow,1,Tverskoy,2026-04-12 11:00:00,36
moscow,1,Tverskoy,2026-04-12 12:00:00,38
moscow,1,Tverskoy,2026-04-12 13:00:00,37
moscow,1,Tverskoy,2026-04-12 14:00:00,40
moscow,1,Tverskoy,2026-04-12 15:00:00,45
moscow,1,Tverskoy,2026-04-12 16:00:00,42
moscow,1,Tverskoy,2026-04-12 17:00:00,50
moscow,1,Tverskoy,2026-04-12 18:00:00,52
moscow,1,Tverskoy,2026-04-12 19:00:00,51
moscow,1,Tverskoy,2026-04-12 20:00:00,70
moscow,1,Tverskoy,2026-04-12 21:00:00,78
moscow,1,Tverskoy,2026-04-12 22:00:00,74
moscow,1,Tverskoy,2026-04-12 23:00:00,81
moscow,1,Tverskoy,2026-04-13 00:00:00,39
moscow,1,Tverskoy,2026-04-13 01:00:00,44
moscow,1,Tverskoy,2026-04-13 02:00:00,45
moscow,1,Tverskoy,2026-04-13 03:00:00,47
moscow,1,Tverskoy,2026-04-13 04:00:00,47
moscow,1,Tverskoy,2026-04-13 05:00:00,48
moscow,1,Tverskoy,2026-04-13 06:00:00,44
moscow,1,Tverskoy,2026-04-13 07:00:00,43
moscow,1,Tverskoy,2026-04-13 08:00:00,48
moscow,1,Tverskoy,2026-04-13 09:00:00,44
moscow,1,Tverskoy,2026-04-13 10:00:00,41
moscow,1,Tverskoy,2026-04-13 11:00:00,41
moscow,1,Tverskoy,2026-04-13 12:00:00,42
moscow,1,Tverskoy,2026-04-13 13:00:00,48
moscow,1,Tverskoy,2026-04-13 14:00:00,50
moscow,1,Tverskoy,2026-04-13 15:00:00,56
moscow,1,Tverskoy,2026-04-13 16:00:00,58
moscow,1,Tverskoy,2026-04-13 17:00:00,65
moscow,1,Tverskoy,2026-04-13 18:00:00,69
moscow,1,Tverskoy,2026-04-13 19:00:00,66
moscow,1,Tverskoy,2026-04-13 20:00:00,68
moscow,1,Tverskoy,2026-04-13 21:00:00,66
moscow,1,Tverskoy,2026-04-13 22:00:00,71
moscow,1,Tverskoy,2026-04-13 23:00:00,72
moscow,1,Tverskoy,2026-04-14 00:00:00,42
moscow,1,Tverskoy,2026-04-14 01:00:00,48
moscow,1,Tverskoy,2026-04-14 02:00:00,45
moscow,1,Tverskoy,2026-04-14 03:00:00,46
moscow,1,Tverskoy,2026-04-14 04:00:00,48
moscow,1,Tverskoy,2026-04-14 05:00:00,48
moscow,1,Tverskoy,2026-04-14 06:00:00,48
moscow,1,Tverskoy,2026-04-14 07:00:00,46
moscow,1,Tverskoy,2026-04-14 08:00:00,45
moscow,1,Tverskoy,2026-04-14 09:00:00,46
moscow,1,Tverskoy,2026-04-14 10:00:00,40
moscow,1,Tverskoy,2026-04-14 11:00:00,41
moscow,1,Tverskoy,2026-04-14 12:00:00,42
moscow,1,Tverskoy,2026-04-14 13:00:00,45
moscow,1,Tverskoy,2026-04-14 14:00:00,52
moscow,1,Tverskoy,2026-04-14 15:00:00,52
moscow,1,Tverskoy,2026-04-14 16:00:00,59
moscow,1,Tverskoy,2026-04-14 17:00:00,70
moscow,1,Tverskoy,2026-04-14 18:00:00,67
moscow,1,Tverskoy,2026-04-14 19:00:00,71
moscow,1,Tverskoy,2026-04-14 20:00:00,65
moscow,1,Tverskoy,2026-04-14 21:00:00,69
moscow,1,Tverskoy,2026-04-14 22:00:00,70
moscow,1,Tverskoy,2026-04-14 23:00:00,73
moscow,1,Tverskoy,2026-04-15 00:00:00,50
moscow,1,Tverskoy,2026-04-15 01:00:00,42
moscow,1,Tverskoy,2026-04-15 02:00:00,49
moscow,1,Tverskoy,2026-04-15 03:00:00,48
moscow,1,Tverskoy,2026-04-15 04:00:00,45
moscow,1,Tverskoy,2026-04-15 05:00:00,42
moscow,1,Tverskoy,2026-04-15 06:00:00,48
moscow,1,Tverskoy,2026-04-15 07:00:00,46
moscow,1,Tverskoy,2026-04-15 08:00:00,48
moscow,1,Tverskoy,2026-04-15 09:00:00,47
moscow,1,Tverskoy,2026-04-15 10:00:00,53
moscow,1,Tverskoy,2026-04-15 11:00:00,47
moscow,1,Tverskoy,2026-04-15 12:00:00,45
moscow,1,Tverskoy,2026-04-15 13:00:00,50
moscow,1,Tverskoy,2026-04-15 14:00:00,52
moscow,1,Tverskoy,2026-04-15 15:00:00,61
moscow,1,Tverskoy,2026-04-15 16:00:00,65
moscow,1,Tverskoy,2026-04-15 17:00:00,68
moscow,1,Tverskoy,2026-04-15 18:00:00,75
moscow,1,Tverskoy,2026-04-15 19:00:00,66
moscow,1,Tverskoy,2026-04-15 20:00:00,67
moscow,1,Tverskoy,2026-04-15 21:00:00,68
moscow,1,Tverskoy,2026-04-15 22:00:00,73
moscow,1,Tverskoy,2026-04-15 23:00:00,71
moscow,1,Tverskoy,2026-04-16 00:00:00,51
moscow,1,Tverskoy,2026-04-16 01:00:00,48
moscow,1,Tverskoy,2026-04-16 02:00:00,44
moscow,1,Tverskoy,2026-04-16 03:00:00,45
moscow,1,Tverskoy,2026-04-16 04:00:00,50
moscow,1,Tverskoy,2026-04-16 05:00:00,51
moscow,1,Tverskoy,2026-04-16 06:00:00,55
moscow,1,Tverskoy,2026-04-16 07:00:00,58
moscow,1,Tverskoy,2026-04-16 08:00:00,50
moscow,1,Tverskoy,2026-04-16 09:00:00,45
moscow,1,Tverskoy,2026-04-16 10:00:00,41
moscow,1,Tverskoy,2026-04-16 11:00:00,50
moscow,1,Tverskoy,2026-04-16 12:00:00,46
moscow,1,Tverskoy,2026-04-16 13:00:00,49
moscow,1,Tverskoy,2026-04-16 14:00:00,51
moscow,1,Tverskoy,2026-04-16 15:00:00,57
moscow,1,Tverskoy,2026-04-16 16:00:00,67
moscow,1,Tverskoy,2026-04-16 17:00:00,69
moscow,1,Tverskoy,2026-04-16 18:00:00,71
moscow,1,Tverskoy,2026-04-16 19:00:00,68
moscow,1,Tverskoy,2026-04-16 20:00:00,65
moscow,1,Tverskoy,2026-04-16 21:00:00,71
moscow,1,Tverskoy,2026-04-16 22:00:00,76
moscow,1,Tverskoy,2026-04-16 23:00:00,83
moscow,1,Tverskoy,2026-04-17 00:00:00,50
moscow,1,Tverskoy,2026-04-17 01:00:00,53
moscow,1,Tverskoy,2026-04-17 02:00:00,48
moscow,1,Tverskoy,2026-04-17 03:00:00,46
moscow,1,Tverskoy,2026-04-17 04:00:00,47
moscow,1,Tverskoy,2026-04-17 05:00:00,47
moscow,1,Tverskoy,2026-04-17 06:00:00,57
moscow,1,Tverskoy,2026-04-17 07:00:00,47
moscow,1,Tverskoy,2026-04-17 08:00:00,53
moscow,1,Tverskoy,2026-04-17 09:00:00,47
moscow,1,Tverskoy,2026-04-17 10:00:00,53
moscow,1,Tverskoy,2026-04-17 11:00:00,51
moscow,1,Tverskoy,2026-04-17 12:00:00,50
moscow,1,Tverskoy,2026-04-17 13:00:00,52
moscow,1,Tverskoy,2026-04-17 14:00:00,52
moscow,1,Tverskoy,2026-04-17 15:00:00,60
moscow,1,Tverskoy,2026-04-17 16:00:00,63
moscow,1,Tverskoy,2026-04-17 17:00:00,66
moscow,1,Tverskoy,2026-04-17 18:00:00,97
moscow,1,Tverskoy,2026-04-17 19:00:00,101
moscow,1,Tverskoy,2026-04-17 20:00:00,105
moscow,1,Tverskoy,2026-04-17 21:00:00,103
moscow,1,Tverskoy,2026-04-17 22:00:00,108
moscow,1,Tverskoy,2026-04-17 23:00:00,110
moscow,1,Tverskoy,2026-04-18 00:00:00,47
moscow,1,Tverskoy,2026-04-18 01:00:00,44
moscow,1,Tverskoy,2026-04-18 02:00:00,42
moscow,1,Tverskoy,2026-04-18 03:00:00,47
moscow,1,Tverskoy,2026-04-18 04:00:00,44
moscow,1,Tverskoy,2026-04-18 05:00:00,48
moscow,1,Tverskoy,2026-04-18 06:00:00,44
moscow,1,Tverskoy,2026-04-18 07:00:00,39
